Subject,Label
26471,overlevingstochten
25612,emancipatie
28687,landkaarten
29792,meld- en regelkamers
29971,stankoverlast
25692,filmoperateurs
25691,filmmontage
25425,bakens
28443,inundaties
25976,ingenieurs
25532,distributie
25274,gezondheidszorg
26898,tapijtweverijen
25828,haar
27369,weilanden
26618,reeën
27077,natuurgebieden
29508,bosbranden
28590,droogte
28855,slaginstrumenten
26549,poorten
26788,sportblessures
28847,kreeften
25311,aartsbisschoppen
25681,fietscross
28225,rechtspraak
28074,vrouwenarbeid
28601,elektrische apparatuur
28227,televisie
28829,koks
28351,gewonden
24920,beademing
26892,tandems
29427,economische crises
29520,kou
25637,ethiek
28770,draagvleugelboten
28273,regeringscrises
26271,metaalbewerking
26727,slakken
26738,sloperijen
29141,radiologie
26376,nesten
29424,consumptie-ijs
28996,lederindustrie
26483,parlementaire enquêtes
25571,drukpersen
27134,prinsen
25912,hoveniers
27374,wereldreizen
25415,autorijscholen
25215,roofdieren
26936,tijgers
29746,rechtszittingen
27090,oorlogsmisdaden
28565,eredoctoraten
25657,experimenten
26634,religieuze muziek
25786,glazenwassers
26826,stekelvarkens
26621,regenwouden
27284,vlotten
27334,wadlopen
25087,cartografie
29843,mensen
26080,kleuteronderwijs
27085,openbaar onderwijs
25788,gnoes
27413,wolven
25205,robben
29669,schaapskooien
29671,herders
25240,opslagplaatsen
25206,robots
27360,watervogels
27979,baggerwerken
28116,watervoorziening
26328,monteurs
28296,hindoeïsme
28183,immigratie
30061,hindoes
28313,geneesmiddelen
27985,klim- en bergsport
26314,modeontwerpers
26359,naaisters
27746,moerassen
27434,zandopspuitingen
25229,ruimtelijke ordening
26244,mechanica
27240,verpleeghuizen
26257,meel
25257,pijpleidingen
28335,goederenvervoer
28152,schaalmodellen
26538,poëzie
26719,sjoelen
25805,grafische industrie
28527,bromfietsen
25913,hovercrafts
25200,rijexamens
29232,filmstudio's
28514,burgers
29879,amusementsprogramma's
28173,trekschuiten
27279,vloerbedekking
28779,operettes
25874,herten
26204,machinisten
25467,culturele identiteit
28675,beeld- en geluidsdragers
28925,bridge
29543,ruilhandel
29354,vliegtuigpersoneel
26734,slechtzienden
29292,hippies
26535,plunderingen
26467,ouderschap
27831,vaders
29276,paspoorten
28353,juristen
26316,moderne kunst
29189,staatssecretarissen
27841,vervoermiddelen
27247,verzamelbeurzen
27878,kunststoffen
28852,kunstzwemmen
26660,schaatsen (voorwerpen)
25525,diploma's
29657,norbertijnen
27186,kloosters
26614,redacteuren
28236,kranten
26049,kartonindustrie
26048,karton
28341,gezag
28182,werknemers
26987,uilen
28438,kansspelen
26966,troonopvolging
26908,tekenaars
28645,tekenfilms
28933,gras
26888,tafelvoetbal
29905,onderwijzers
27682,huisraad
28149,rupsvoertuigen
26673,schillenboeren
26195,luchtvaartmaatschappijen
24980,bijenteelt
25866,hengelsport
25422,badminton
25377,arbeidsbemiddeling
25378,arbeidsbureaus
26288,midgetgolf
27005,meerkamp
27674,spoorwegwerkers
25047,brandweerkazernes
26829,sternen
27278,vlinders
26649,reünies
27137,propaganda
27697,audiovisuele archieven
26254,medische apparatuur
29744,gevangeniscellen
25930,huizen van bewaring
28305,handwerken
27806,video
28082,wetenschappelijk onderwijs
28178,tolwegen
26067,kinderopvang
28762,chirurgie
29278,economische hulp
25626,ereburgerschappen
28938,schaal- en schelpdieren
25303,bouwkunde
